ts,open,high,low,close,vol,dt
1777141800000,2312.26,2314.16,2312.01,2312.02,219.75198,2026-04-25 18:30:00
1777142700000,2312.01,2313.84,2311.54,2311.54,115.04393,2026-04-25 18:45:00
1777143600000,2311.74,2312.15,2310.41,2311.91,213.685069,2026-04-25 19:00:00
1777144500000,2311.91,2312.39,2308.93,2308.98,183.092689,2026-04-25 19:15:00
1777145400000,2308.99,2309.46,2307.44,2307.44,227.282911,2026-04-25 19:30:00
1777146300000,2307.45,2311.11,2307.45,2310.24,188.435127,2026-04-25 19:45:00
1777147200000,2310.24,2311.9,2309.1,2310.56,369.616635,2026-04-25 20:00:00
1777148100000,2310.56,2312.26,2309.72,2311.71,171.859555,2026-04-25 20:15:00
1777149000000,2311.72,2312.17,2311.07,2311.21,193.240822,2026-04-25 20:30:00
1777149900000,2311.23,2313.42,2310.78,2313.13,117.400807,2026-04-25 20:45:00
1777150800000,2313.13,2317.38,2313.13,2316.72,1169.578706,2026-04-25 21:00:00
1777151700000,2316.71,2317.39,2315.54,2316.12,222.69718,2026-04-25 21:15:00
1777152600000,2316.12,2316.27,2313.12,2314.55,150.883816,2026-04-25 21:30:00
1777153500000,2314.57,2316.3,2314.32,2316.0,162.315691,2026-04-25 21:45:00
1777154400000,2316.0,2317.68,2315.23,2316.0,203.427079,2026-04-25 22:00:00
1777155300000,2316.0,2317.66,2315.65,2316.81,126.015907,2026-04-25 22:15:00
1777156200000,2317.02,2320.93,2317.02,2319.22,421.475706,2026-04-25 22:30:00
1777157100000,2319.21,2319.21,2317.6,2318.14,117.338721,2026-04-25 22:45:00
1777158000000,2318.18,2319.81,2317.01,2319.12,153.3453,2026-04-25 23:00:00
1777158900000,2319.13,2319.59,2317.92,2319.47,105.235885,2026-04-25 23:15:00
1777159800000,2319.42,2319.99,2318.3,2318.99,188.833189,2026-04-25 23:30:00
1777160700000,2319.06,2319.86,2318.08,2319.71,289.018888,2026-04-25 23:45:00
1777161600000,2319.72,2319.91,2316.04,2316.75,397.446268,2026-04-26 00:00:00
1777162500000,2316.64,2316.64,2314.55,2315.22,194.942595,2026-04-26 00:15:00
1777163400000,2315.22,2317.5,2314.33,2317.5,111.73941,2026-04-26 00:30:00
1777164300000,2317.5,2318.29,2311.78,2315.31,584.928065,2026-04-26 00:45:00
1777165200000,2315.31,2315.88,2313.45,2315.01,222.676993,2026-04-26 01:00:00
1777166100000,2315.0,2316.78,2314.99,2316.0,201.637839,2026-04-26 01:15:00
1777167000000,2316.0,2318.07,2315.21,2316.11,331.803874,2026-04-26 01:30:00
1777167900000,2316.03,2316.74,2313.58,2314.01,80.169065,2026-04-26 01:45:00
1777168800000,2314.01,2318.09,2313.58,2318.08,69.301559,2026-04-26 02:00:00
1777169700000,2318.16,2318.36,2316.65,2317.47,294.105758,2026-04-26 02:15:00
1777170600000,2317.47,2318.66,2315.64,2315.64,129.058128,2026-04-26 02:30:00
1777171500000,2315.63,2316.25,2314.57,2315.17,130.143988,2026-04-26 02:45:00
1777172400000,2315.14,2316.19,2314.1,2316.19,145.02727,2026-04-26 03:00:00
1777173300000,2316.19,2316.66,2312.42,2312.48,60.988113,2026-04-26 03:15:00
1777174200000,2312.48,2312.82,2306.77,2309.45,750.597763,2026-04-26 03:30:00
1777175100000,2309.46,2310.67,2308.4,2310.02,198.411851,2026-04-26 03:45:00
1777176000000,2310.01,2312.94,2309.22,2311.33,242.378136,2026-04-26 04:00:00
1777176900000,2311.33,2312.07,2310.6,2311.06,127.092517,2026-04-26 04:15:00
1777177800000,2311.06,2313.74,2310.4,2312.89,104.808605,2026-04-26 04:30:00
1777178700000,2312.88,2319.81,2312.87,2317.71,911.612064,2026-04-26 04:45:00
1777179600000,2317.71,2332.3,2317.7,2328.65,2515.193889,2026-04-26 05:00:00
1777180500000,2328.59,2336.18,2326.83,2330.99,2111.228935,2026-04-26 05:15:00
1777181400000,2331.15,2334.72,2327.04,2328.83,854.031547,2026-04-26 05:30:00
1777182300000,2328.84,2330.0,2327.22,2328.02,142.670248,2026-04-26 05:45:00
1777183200000,2328.02,2331.99,2328.02,2330.22,320.257149,2026-04-26 06:00:00
1777184100000,2330.21,2331.19,2328.01,2329.26,123.080396,2026-04-26 06:15:00
1777185000000,2329.25,2333.52,2329.1,2331.48,203.353046,2026-04-26 06:30:00
1777185900000,2331.49,2331.99,2325.78,2330.0,644.51952,2026-04-26 06:45:00
1777186800000,2330.0,2330.4,2327.98,2329.52,235.667943,2026-04-26 07:00:00
1777187700000,2329.44,2331.08,2329.27,2329.86,181.229994,2026-04-26 07:15:00
1777188600000,2329.86,2330.0,2328.2,2328.52,184.354384,2026-04-26 07:30:00
1777189500000,2328.53,2331.96,2328.48,2331.15,802.926025,2026-04-26 07:45:00
1777190400000,2331.15,2333.99,2331.15,2332.65,860.158396,2026-04-26 08:00:00
1777191300000,2332.64,2333.17,2330.38,2331.48,124.610693,2026-04-26 08:15:00
1777192200000,2331.49,2337.55,2331.33,2331.65,876.606889,2026-04-26 08:30:00
1777193100000,2331.65,2333.91,2331.51,2332.2,396.167485,2026-04-26 08:45:00
1777194000000,2332.2,2332.2,2329.4,2330.83,294.495443,2026-04-26 09:00:00
1777194900000,2330.83,2333.76,2330.47,2332.17,175.924105,2026-04-26 09:15:00
1777195800000,2332.17,2333.72,2331.08,2333.4,190.835999,2026-04-26 09:30:00
1777196700000,2333.39,2335.23,2332.18,2334.59,190.226878,2026-04-26 09:45:00
