ts,open,high,low,close,vol,dt
1777141800000,2311.35,2313.6,2311.08,2311.08,67054.59,2026-04-25 18:30:00
1777142700000,2311.07,2312.68,2310.49,2310.82,43079.09,2026-04-25 18:45:00
1777143600000,2310.83,2311.32,2309.4,2311.2,51301.58,2026-04-25 19:00:00
1777144500000,2311.19,2311.53,2308.2,2308.2,49904.22,2026-04-25 19:15:00
1777145400000,2308.2,2308.6,2306.25,2306.35,74190.46,2026-04-25 19:30:00
1777146300000,2306.35,2310.12,2306.34,2309.19,93052.24,2026-04-25 19:45:00
1777147200000,2309.2,2311.07,2308.17,2309.56,86109.5,2026-04-25 20:00:00
1777148100000,2309.56,2311.43,2308.98,2310.69,39679.27,2026-04-25 20:15:00
1777149000000,2310.68,2311.25,2310.16,2310.38,25104.69,2026-04-25 20:30:00
1777149900000,2310.37,2312.43,2310.0,2312.07,32535.31,2026-04-25 20:45:00
1777150800000,2312.07,2316.8,2312.07,2315.53,198195.46,2026-04-25 21:00:00
1777151700000,2315.52,2316.42,2314.29,2315.06,72089.23,2026-04-25 21:15:00
1777152600000,2315.06,2315.25,2311.85,2313.6,35015.6,2026-04-25 21:30:00
1777153500000,2313.59,2315.3,2313.59,2314.97,26079.5,2026-04-25 21:45:00
1777154400000,2314.97,2316.85,2314.11,2315.06,60135.67,2026-04-25 22:00:00
1777155300000,2315.0,2316.63,2314.54,2315.78,36044.97,2026-04-25 22:15:00
1777156200000,2315.77,2319.67,2315.77,2317.92,167767.78,2026-04-25 22:30:00
1777157100000,2317.92,2318.1,2316.39,2317.02,58975.25,2026-04-25 22:45:00
1777158000000,2317.02,2318.89,2315.47,2317.73,97254.91,2026-04-25 23:00:00
1777158900000,2317.72,2318.65,2316.68,2318.31,49601.82,2026-04-25 23:15:00
1777159800000,2318.32,2318.65,2317.14,2317.96,46374.13,2026-04-25 23:30:00
1777160700000,2317.96,2318.76,2316.82,2318.42,55873.18,2026-04-25 23:45:00
1777161600000,2318.43,2318.75,2314.73,2315.58,91104.67,2026-04-26 00:00:00
1777162500000,2315.57,2315.57,2313.34,2314.3,95495.23,2026-04-26 00:15:00
1777163400000,2314.31,2316.49,2313.5,2316.49,56119.41,2026-04-26 00:30:00
1777164300000,2316.49,2317.17,2310.05,2314.19,116352.65,2026-04-26 00:45:00
1777165200000,2314.19,2314.64,2312.33,2313.94,93668.95,2026-04-26 01:00:00
1777166100000,2313.93,2315.74,2313.93,2314.86,59010.18,2026-04-26 01:15:00
1777167000000,2314.86,2317.17,2314.19,2314.93,88631.08,2026-04-26 01:30:00
1777167900000,2314.92,2315.63,2312.36,2312.97,71453.63,2026-04-26 01:45:00
1777168800000,2312.97,2317.32,2312.55,2316.69,53731.59,2026-04-26 02:00:00
1777169700000,2316.69,2317.34,2315.42,2316.42,67486.99,2026-04-26 02:15:00
1777170600000,2316.41,2317.6,2314.36,2314.36,58239.82,2026-04-26 02:30:00
1777171500000,2314.36,2315.0,2313.27,2314.26,65575.45,2026-04-26 02:45:00
1777172400000,2314.26,2315.11,2313.0,2315.11,67064.34,2026-04-26 03:00:00
1777173300000,2315.11,2315.63,2311.02,2311.43,68083.09,2026-04-26 03:15:00
1777174200000,2311.44,2311.81,2305.63,2308.37,300861.61,2026-04-26 03:30:00
1777175100000,2308.36,2309.64,2307.38,2309.23,68302.62,2026-04-26 03:45:00
1777176000000,2309.24,2311.75,2308.11,2310.2,82652.55,2026-04-26 04:00:00
1777176900000,2310.2,2311.1,2309.51,2309.94,41433.32,2026-04-26 04:15:00
1777177800000,2309.94,2312.42,2309.25,2311.78,50635.26,2026-04-26 04:30:00
1777178700000,2311.78,2318.76,2311.78,2316.43,359274.1,2026-04-26 04:45:00
1777179600000,2316.4,2332.32,2316.28,2327.52,1063405.09,2026-04-26 05:00:00
1777180500000,2327.52,2337.75,2325.26,2329.74,937404.6,2026-04-26 05:15:00
