ts,open,high,low,close,vol,dt
1777141800000,85.71,85.83,85.7,85.72,3610.286802,2026-04-25 18:30:00
1777142700000,85.71,85.83,85.68,85.69,2801.681071,2026-04-25 18:45:00
1777143600000,85.69,85.72,85.62,85.65,3885.099915,2026-04-25 19:00:00
1777144500000,85.66,85.71,85.57,85.59,4707.150078,2026-04-25 19:15:00
1777145400000,85.6,85.65,85.58,85.6,787.755675,2026-04-25 19:30:00
1777146300000,85.59,85.71,85.59,85.67,1646.045808,2026-04-25 19:45:00
1777147200000,85.68,85.73,85.61,85.73,1209.940591,2026-04-25 20:00:00
1777148100000,85.72,85.84,85.71,85.79,1202.209569,2026-04-25 20:15:00
1777149000000,85.8,85.85,85.76,85.84,1346.935926,2026-04-25 20:30:00
1777149900000,85.84,85.92,85.8,85.9,2448.544443,2026-04-25 20:45:00
1777150800000,85.91,86.06,85.9,86.02,2831.853562,2026-04-25 21:00:00
1777151700000,86.03,86.1,85.93,85.96,3964.457631,2026-04-25 21:15:00
1777152600000,85.95,85.95,85.73,85.8,4048.868849,2026-04-25 21:30:00
1777153500000,85.81,85.94,85.77,85.9,1367.672406,2026-04-25 21:45:00
1777154400000,85.9,86.01,85.86,85.97,1113.268768,2026-04-25 22:00:00
1777155300000,85.97,86.05,85.96,86.03,801.426611,2026-04-25 22:15:00
1777156200000,86.04,86.16,86.04,86.13,1224.882238,2026-04-25 22:30:00
1777157100000,86.14,86.14,86.07,86.1,630.143095,2026-04-25 22:45:00
1777158000000,86.1,86.14,86.03,86.1,973.561394,2026-04-25 23:00:00
1777158900000,86.09,86.09,86.02,86.07,2670.012306,2026-04-25 23:15:00
1777159800000,86.07,86.17,86.06,86.13,1056.39898,2026-04-25 23:30:00
1777160700000,86.13,86.17,86.11,86.16,677.259829,2026-04-25 23:45:00
1777161600000,86.17,86.2,86.05,86.12,2289.311329,2026-04-26 00:00:00
1777162500000,86.11,86.13,86.03,86.05,1604.218984,2026-04-26 00:15:00
1777163400000,86.05,86.12,86.01,86.11,665.879568,2026-04-26 00:30:00
1777164300000,86.12,86.14,85.94,86.03,2649.900904,2026-04-26 00:45:00
1777165200000,86.03,86.07,86.01,86.03,2211.517731,2026-04-26 01:00:00
1777166100000,86.03,86.07,85.98,85.99,1011.645855,2026-04-26 01:15:00
1777167000000,85.98,86.07,85.98,86.07,1211.628675,2026-04-26 01:30:00
1777167900000,86.06,86.12,85.97,85.98,891.920907,2026-04-26 01:45:00
1777168800000,85.98,86.17,85.97,86.17,1250.721961,2026-04-26 02:00:00
1777169700000,86.17,86.28,86.17,86.26,3350.832743,2026-04-26 02:15:00
1777170600000,86.27,86.31,86.21,86.25,1572.546841,2026-04-26 02:30:00
1777171500000,86.25,86.38,86.18,86.38,6895.841813,2026-04-26 02:45:00
1777172400000,86.38,86.45,86.19,86.28,12165.955259,2026-04-26 03:00:00
1777173300000,86.28,86.32,86.03,86.04,3271.930772,2026-04-26 03:15:00
1777174200000,86.03,86.11,85.84,85.89,13247.945086,2026-04-26 03:30:00
1777175100000,85.88,86.01,85.86,85.99,917.379825,2026-04-26 03:45:00
1777176000000,85.99,86.16,85.93,86.08,1264.161383,2026-04-26 04:00:00
1777176900000,86.09,86.14,86.09,86.13,1652.581315,2026-04-26 04:15:00
1777177800000,86.14,86.38,86.11,86.33,6663.056594,2026-04-26 04:30:00
1777178700000,86.33,86.72,86.33,86.44,22201.236734,2026-04-26 04:45:00
1777179600000,86.44,86.61,86.14,86.54,19919.665993,2026-04-26 05:00:00
1777180500000,86.55,86.71,86.51,86.56,5700.825651,2026-04-26 05:15:00
1777181400000,86.58,86.66,86.44,86.46,3377.97217,2026-04-26 05:30:00
1777182300000,86.47,86.48,86.39,86.45,547.341427,2026-04-26 05:45:00
1777183200000,86.46,86.59,86.46,86.53,2100.492554,2026-04-26 06:00:00
1777184100000,86.52,86.54,86.4,86.4,1016.381904,2026-04-26 06:15:00
1777185000000,86.4,86.59,86.39,86.53,828.084843,2026-04-26 06:30:00
1777185900000,86.53,86.54,86.41,86.5,1277.177677,2026-04-26 06:45:00
1777186800000,86.5,86.51,86.46,86.51,1700.109631,2026-04-26 07:00:00
1777187700000,86.51,86.57,86.49,86.51,2263.155389,2026-04-26 07:15:00
1777188600000,86.51,86.52,86.45,86.46,960.167301,2026-04-26 07:30:00
1777189500000,86.45,86.64,86.45,86.64,2752.514277,2026-04-26 07:45:00
1777190400000,86.64,86.7,86.55,86.59,2783.641947,2026-04-26 08:00:00
1777191300000,86.58,86.6,86.52,86.58,809.338876,2026-04-26 08:15:00
1777192200000,86.58,86.77,86.54,86.6,6773.486103,2026-04-26 08:30:00
1777193100000,86.59,86.63,86.55,86.58,4165.951547,2026-04-26 08:45:00
1777194000000,86.58,86.59,86.5,86.53,1594.197627,2026-04-26 09:00:00
1777194900000,86.53,86.58,86.5,86.53,1956.78082,2026-04-26 09:15:00
1777195800000,86.54,86.56,86.46,86.5,1359.274516,2026-04-26 09:30:00
1777196700000,86.5,86.55,86.48,86.53,599.449214,2026-04-26 09:45:00
1777197600000,86.54,86.6,86.49,86.59,918.499343,2026-04-26 10:00:00
1777198500000,86.59,86.61,86.56,86.56,1371.149001,2026-04-26 10:15:00
1777199400000,86.56,86.58,86.49,86.49,626.613555,2026-04-26 10:30:00
1777200300000,86.49,86.51,86.43,86.48,1044.781519,2026-04-26 10:45:00
1777201200000,86.48,86.58,86.48,86.53,4382.15541,2026-04-26 11:00:00
1777202100000,86.53,86.64,86.47,86.57,3793.110008,2026-04-26 11:15:00
1777203000000,86.57,86.6,86.49,86.5,1481.848664,2026-04-26 11:30:00
1777203900000,86.5,86.54,86.46,86.48,1062.825355,2026-04-26 11:45:00
1777204800000,86.49,86.5,86.25,86.27,3256.362352,2026-04-26 12:00:00
1777205700000,86.27,86.29,86.19,86.23,6025.273781,2026-04-26 12:15:00
1777206600000,86.24,86.31,86.16,86.16,3849.586992,2026-04-26 12:30:00
1777207500000,86.15,86.18,85.9,86.09,14496.525779,2026-04-26 12:45:00
1777208400000,86.1,86.16,86.01,86.13,3192.117695,2026-04-26 13:00:00
1777209300000,86.14,86.15,85.98,86.07,6960.889197,2026-04-26 13:15:00
1777210200000,86.07,86.3,86.06,86.08,22925.171171,2026-04-26 13:30:00
1777211100000,86.09,86.2,85.98,86.13,11181.248375,2026-04-26 13:45:00
1777212000000,86.12,86.16,86.07,86.15,1051.516902,2026-04-26 14:00:00
1777212900000,86.15,86.49,86.13,86.39,6349.831966,2026-04-26 14:15:00
1777213800000,86.39,86.5,86.32,86.4,3881.804734,2026-04-26 14:30:00
1777214700000,86.4,86.49,86.35,86.4,2567.052768,2026-04-26 14:45:00
1777215600000,86.41,86.49,86.36,86.43,1340.080556,2026-04-26 15:00:00
1777216500000,86.43,86.58,86.42,86.57,4848.289724,2026-04-26 15:15:00
1777217400000,86.58,86.58,86.48,86.49,2103.284478,2026-04-26 15:30:00
1777218300000,86.49,86.56,86.42,86.55,2002.620252,2026-04-26 15:45:00
1777219200000,86.56,86.58,86.47,86.48,2790.390483,2026-04-26 16:00:00
1777220100000,86.47,86.54,86.46,86.51,2058.463508,2026-04-26 16:15:00
1777221000000,86.5,86.59,86.45,86.45,3449.887421,2026-04-26 16:30:00
1777221900000,86.45,86.51,86.39,86.43,2192.329854,2026-04-26 16:45:00
1777222800000,86.43,86.48,86.28,86.47,2012.983385,2026-04-26 17:00:00
1777223700000,86.47,86.58,86.46,86.53,2627.817507,2026-04-26 17:15:00
