ts,open,high,low,close,vol,dt
1777141800000,85.65,85.76,85.63,85.64,53918.68,2026-04-25 18:30:00
1777142700000,85.65,85.76,85.61,85.62,38571.22,2026-04-25 18:45:00
1777143600000,85.62,85.66,85.56,85.59,47965.32,2026-04-25 19:00:00
1777144500000,85.6,85.66,85.49,85.53,68631.96,2026-04-25 19:15:00
1777145400000,85.53,85.59,85.51,85.54,15534.02,2026-04-25 19:30:00
1777146300000,85.53,85.65,85.52,85.61,10838.65,2026-04-25 19:45:00
1777147200000,85.62,85.68,85.54,85.67,16361.63,2026-04-25 20:00:00
1777148100000,85.67,85.79,85.66,85.75,16008.92,2026-04-25 20:15:00
1777149000000,85.75,85.8,85.7,85.78,13528.08,2026-04-25 20:30:00
1777149900000,85.77,85.86,85.73,85.85,44146.48,2026-04-25 20:45:00
1777150800000,85.85,86.02,85.84,85.97,41811.47,2026-04-25 21:00:00
1777151700000,85.97,86.04,85.86,85.9,42716.71,2026-04-25 21:15:00
1777152600000,85.89,85.89,85.67,85.75,21093.74,2026-04-25 21:30:00
1777153500000,85.76,85.88,85.7,85.84,12320.22,2026-04-25 21:45:00
1777154400000,85.85,85.96,85.8,85.92,20628.45,2026-04-25 22:00:00
1777155300000,85.92,86.01,85.9,85.99,13142.21,2026-04-25 22:15:00
1777156200000,85.99,86.12,85.99,86.08,23171.64,2026-04-25 22:30:00
1777157100000,86.08,86.1,86.02,86.05,14820.1,2026-04-25 22:45:00
1777158000000,86.04,86.09,85.98,86.03,13714.58,2026-04-25 23:00:00
1777158900000,86.03,86.04,85.97,86.02,11599.97,2026-04-25 23:15:00
1777159800000,86.02,86.11,86.0,86.06,12500.78,2026-04-25 23:30:00
1777160700000,86.07,86.13,86.06,86.12,15023.8,2026-04-25 23:45:00
1777161600000,86.13,86.15,85.98,86.06,35765.07,2026-04-26 00:00:00
1777162500000,86.05,86.08,85.98,85.99,25485.84,2026-04-26 00:15:00
1777163400000,85.99,86.07,85.96,86.07,8368.13,2026-04-26 00:30:00
1777164300000,86.06,86.09,85.87,85.98,17908.8,2026-04-26 00:45:00
1777165200000,85.98,86.03,85.95,85.99,26611.74,2026-04-26 01:00:00
1777166100000,85.98,86.02,85.92,85.93,9066.52,2026-04-26 01:15:00
1777167000000,85.94,86.03,85.92,86.02,17565.69,2026-04-26 01:30:00
1777167900000,86.01,86.08,85.92,85.92,31042.49,2026-04-26 01:45:00
1777168800000,85.92,86.13,85.92,86.13,15321.19,2026-04-26 02:00:00
1777169700000,86.13,86.25,86.13,86.24,26331.62,2026-04-26 02:15:00
1777170600000,86.23,86.28,86.16,86.21,30230.09,2026-04-26 02:30:00
1777171500000,86.2,86.35,86.13,86.35,27378.4,2026-04-26 02:45:00
