ts,open,high,low,close,vol,dt
1777141800000,0.32441,0.32447,0.32424,0.32425,476318.997429,2026-04-25 18:30:00
1777142700000,0.32424,0.32424,0.32383,0.32415,446811.082204,2026-04-25 18:45:00
1777143600000,0.32415,0.32442,0.32412,0.32442,693541.166806,2026-04-25 19:00:00
1777144500000,0.32444,0.32447,0.32397,0.32399,707813.098276,2026-04-25 19:15:00
1777145400000,0.32399,0.32417,0.32383,0.32417,365636.141391,2026-04-25 19:30:00
1777146300000,0.32416,0.32427,0.32395,0.32395,354421.599724,2026-04-25 19:45:00
1777147200000,0.32393,0.32393,0.3238,0.32382,297942.236764,2026-04-25 20:00:00
1777148100000,0.32382,0.32396,0.32381,0.32394,192470.555465,2026-04-25 20:15:00
1777149000000,0.32394,0.32405,0.32374,0.32402,420487.207893,2026-04-25 20:30:00
1777149900000,0.32403,0.32413,0.324,0.32401,304008.890711,2026-04-25 20:45:00
1777150800000,0.32401,0.32418,0.324,0.32417,314084.655361,2026-04-25 21:00:00
1777151700000,0.32418,0.3242,0.32312,0.32408,1256708.969106,2026-04-25 21:15:00
1777152600000,0.32408,0.32413,0.32381,0.32393,707672.730032,2026-04-25 21:30:00
1777153500000,0.32392,0.32403,0.3239,0.32391,516191.358053,2026-04-25 21:45:00
1777154400000,0.32391,0.32391,0.32384,0.32387,229310.249128,2026-04-25 22:00:00
1777155300000,0.32386,0.32447,0.32386,0.32426,450038.477378,2026-04-25 22:15:00
1777156200000,0.32426,0.32427,0.32408,0.32426,273326.537994,2026-04-25 22:30:00
1777157100000,0.32426,0.3244,0.32409,0.32439,425513.438023,2026-04-25 22:45:00
1777158000000,0.32439,0.32444,0.32419,0.32442,684740.866607,2026-04-25 23:00:00
1777158900000,0.32443,0.32448,0.32438,0.32447,357297.685128,2026-04-25 23:15:00
1777159800000,0.32448,0.32448,0.3241,0.32411,491014.618317,2026-04-25 23:30:00
1777160700000,0.32411,0.32411,0.3238,0.3238,239534.549944,2026-04-25 23:45:00
1777161600000,0.32379,0.32422,0.32372,0.32411,576313.871735,2026-04-26 00:00:00
1777162500000,0.32412,0.32424,0.32402,0.32414,308803.825177,2026-04-26 00:15:00
1777163400000,0.32416,0.32424,0.32415,0.32421,192404.801154,2026-04-26 00:30:00
1777164300000,0.32421,0.32422,0.32394,0.3241,227831.183283,2026-04-26 00:45:00
1777165200000,0.32414,0.32437,0.32402,0.32402,163486.793774,2026-04-26 01:00:00
1777166100000,0.32402,0.32432,0.3238,0.32403,534460.81016,2026-04-26 01:15:00
1777167000000,0.32404,0.32416,0.32402,0.32412,247012.898084,2026-04-26 01:30:00
1777167900000,0.32413,0.3244,0.32413,0.32419,232448.235304,2026-04-26 01:45:00
1777168800000,0.32419,0.32425,0.32418,0.32419,109505.321807,2026-04-26 02:00:00
1777169700000,0.32419,0.32423,0.3241,0.32411,180588.110463,2026-04-26 02:15:00
1777170600000,0.3241,0.32411,0.32384,0.32388,108137.444438,2026-04-26 02:30:00
1777171500000,0.32389,0.32396,0.3238,0.32388,181872.030204,2026-04-26 02:45:00
1777172400000,0.32389,0.32389,0.32381,0.32381,134968.134293,2026-04-26 03:00:00
1777173300000,0.32381,0.32382,0.3237,0.3237,81753.041576,2026-04-26 03:15:00
1777174200000,0.32371,0.32375,0.32365,0.32371,75990.601817,2026-04-26 03:30:00
1777175100000,0.32371,0.32376,0.32366,0.32373,76715.322712,2026-04-26 03:45:00
1777176000000,0.32373,0.32398,0.32373,0.32394,132606.165419,2026-04-26 04:00:00
1777176900000,0.32393,0.32394,0.32374,0.32374,112404.815903,2026-04-26 04:15:00
1777177800000,0.32375,0.32375,0.32374,0.32374,57791.3962,2026-04-26 04:30:00
1777178700000,0.32375,0.32399,0.32372,0.32392,151601.432109,2026-04-26 04:45:00
1777179600000,0.32393,0.32393,0.3237,0.32371,98221.595903,2026-04-26 05:00:00
1777180500000,0.32371,0.32379,0.32361,0.32361,77383.931862,2026-04-26 05:15:00
1777181400000,0.32361,0.32361,0.32353,0.32355,101594.827035,2026-04-26 05:30:00
1777182300000,0.32354,0.32374,0.32346,0.32369,186111.693997,2026-04-26 05:45:00
1777183200000,0.3237,0.3237,0.32364,0.32368,173052.375065,2026-04-26 06:00:00
1777184100000,0.32367,0.32368,0.32341,0.32352,253186.840102,2026-04-26 06:15:00
1777185000000,0.32351,0.32352,0.32344,0.32344,120483.553902,2026-04-26 06:30:00
1777185900000,0.32344,0.32358,0.32337,0.32353,232276.053796,2026-04-26 06:45:00
1777186800000,0.32354,0.32386,0.32353,0.32386,267931.249226,2026-04-26 07:00:00
1777187700000,0.32385,0.32388,0.32379,0.32388,170241.193432,2026-04-26 07:15:00
1777188600000,0.32388,0.32389,0.32387,0.32389,90626.461157,2026-04-26 07:30:00
1777189500000,0.32398,0.32422,0.32392,0.324,246954.195407,2026-04-26 07:45:00
1777190400000,0.324,0.32413,0.32334,0.32347,506779.689782,2026-04-26 08:00:00
1777191300000,0.32348,0.32355,0.32344,0.32349,235290.236673,2026-04-26 08:15:00
1777192200000,0.32348,0.32371,0.32348,0.32355,161011.363689,2026-04-26 08:30:00
1777193100000,0.32355,0.32373,0.32344,0.32366,274148.63445,2026-04-26 08:45:00
1777194000000,0.32369,0.32393,0.32361,0.3238,281846.879647,2026-04-26 09:00:00
1777194900000,0.3238,0.32408,0.32371,0.32404,418062.851062,2026-04-26 09:15:00
1777195800000,0.32404,0.32422,0.32404,0.32422,292041.15407,2026-04-26 09:30:00
1777196700000,0.32421,0.32462,0.32417,0.32418,381002.460348,2026-04-26 09:45:00
1777197600000,0.32418,0.32424,0.32394,0.32398,444056.704602,2026-04-26 10:00:00
1777198500000,0.32398,0.32398,0.32377,0.32387,425892.255846,2026-04-26 10:15:00
1777199400000,0.32388,0.32392,0.32378,0.32392,251211.099457,2026-04-26 10:30:00
1777200300000,0.32392,0.32403,0.32391,0.32396,313424.300364,2026-04-26 10:45:00
1777201200000,0.32395,0.32395,0.32366,0.3239,301347.137613,2026-04-26 11:00:00
1777202100000,0.3239,0.3239,0.32339,0.32349,191474.702014,2026-04-26 11:15:00
1777203000000,0.32349,0.32349,0.32274,0.32281,616266.319825,2026-04-26 11:30:00
1777203900000,0.32281,0.32309,0.32278,0.32293,500174.278277,2026-04-26 11:45:00
1777204800000,0.32293,0.32331,0.32288,0.3233,386154.445387,2026-04-26 12:00:00
1777205700000,0.32329,0.32351,0.32291,0.32351,445887.385325,2026-04-26 12:15:00
1777206600000,0.32351,0.32359,0.32348,0.32356,217926.50594,2026-04-26 12:30:00
1777207500000,0.32356,0.32377,0.32355,0.32369,590141.71874,2026-04-26 12:45:00
1777208400000,0.32368,0.32375,0.32368,0.3237,363779.054745,2026-04-26 13:00:00
1777209300000,0.32371,0.32377,0.32354,0.32374,462939.169194,2026-04-26 13:15:00
1777210200000,0.32374,0.32395,0.32372,0.32385,528431.681911,2026-04-26 13:30:00
1777211100000,0.32384,0.32387,0.3236,0.32361,349732.930062,2026-04-26 13:45:00
1777212000000,0.32361,0.32368,0.32347,0.3236,628154.782156,2026-04-26 14:00:00
1777212900000,0.32361,0.32365,0.32346,0.32347,256837.980124,2026-04-26 14:15:00
