ts,open,high,low,close,vol,dt
1777141800000,0.3243,0.3243,0.324,0.324,105.21,2026-04-25 18:30:00
1777142700000,0.324,0.3241,0.3237,0.3239,212.19,2026-04-25 18:45:00
1777143600000,0.3239,0.3242,0.3239,0.3242,105.88,2026-04-25 19:00:00
1777144500000,0.3242,0.3243,0.3237,0.3238,58.56,2026-04-25 19:15:00
1777145400000,0.3237,0.324,0.3235,0.324,233.75,2026-04-25 19:30:00
1777146300000,0.3239,0.3242,0.3238,0.3238,158.54,2026-04-25 19:45:00
1777147200000,0.3237,0.3237,0.3236,0.3236,29.51,2026-04-25 20:00:00
1777148100000,0.3236,0.3238,0.3236,0.3237,110.02,2026-04-25 20:15:00
1777149000000,0.3237,0.3239,0.3235,0.3239,137.07,2026-04-25 20:30:00
1777149900000,0.3238,0.3239,0.3237,0.3237,57.2,2026-04-25 20:45:00
1777150800000,0.3237,0.324,0.3237,0.3239,166.64,2026-04-25 21:00:00
1777151700000,0.3239,0.324,0.323,0.3238,483.95,2026-04-25 21:15:00
1777152600000,0.3238,0.324,0.3236,0.3238,385.01,2026-04-25 21:30:00
1777153500000,0.3237,0.3238,0.3236,0.3236,115.39,2026-04-25 21:45:00
1777154400000,0.3236,0.3237,0.3236,0.3236,19.35,2026-04-25 22:00:00
1777155300000,0.3236,0.3242,0.3236,0.3241,335.07,2026-04-25 22:15:00
1777156200000,0.324,0.3241,0.3238,0.3239,92.55,2026-04-25 22:30:00
1777157100000,0.3239,0.3242,0.3238,0.3242,97.57,2026-04-25 22:45:00
1777158000000,0.3241,0.3243,0.3239,0.3242,186.21,2026-04-25 23:00:00
1777158900000,0.3241,0.3242,0.3241,0.3242,16.12,2026-04-25 23:15:00
1777159800000,0.3241,0.3243,0.3237,0.3239,249.44,2026-04-25 23:30:00
1777160700000,0.3238,0.3239,0.3235,0.3236,171.21,2026-04-25 23:45:00
1777161600000,0.3236,0.3239,0.3234,0.3239,280.35,2026-04-26 00:00:00
1777162500000,0.324,0.324,0.3238,0.324,196.72,2026-04-26 00:15:00
1777163400000,0.324,0.3241,0.3239,0.3241,41.8,2026-04-26 00:30:00
1777164300000,0.324,0.3241,0.3236,0.3239,65.02,2026-04-26 00:45:00
1777165200000,0.3239,0.3242,0.3237,0.3238,104.32,2026-04-26 01:00:00
1777166100000,0.3238,0.3242,0.3234,0.3239,1090.48,2026-04-26 01:15:00
1777167000000,0.3239,0.3241,0.3238,0.3239,360.2,2026-04-26 01:30:00
1777167900000,0.324,0.3243,0.3239,0.324,861.51,2026-04-26 01:45:00
1777168800000,0.324,0.3242,0.324,0.324,89.55,2026-04-26 02:00:00
1777169700000,0.324,0.3241,0.3239,0.3239,34.66,2026-04-26 02:15:00
1777170600000,0.3239,0.324,0.3236,0.3237,796.11,2026-04-26 02:30:00
1777171500000,0.3236,0.3239,0.3236,0.3237,321.21,2026-04-26 02:45:00
1777172400000,0.3237,0.3238,0.3236,0.3237,48.13,2026-04-26 03:00:00
1777173300000,0.3236,0.3237,0.3234,0.3235,262.84,2026-04-26 03:15:00
1777174200000,0.3236,0.3236,0.3235,0.3236,61.59,2026-04-26 03:30:00
1777175100000,0.3235,0.3237,0.3235,0.3236,200.84,2026-04-26 03:45:00
1777176000000,0.3236,0.3239,0.3235,0.3237,229.09,2026-04-26 04:00:00
1777176900000,0.3237,0.3238,0.3235,0.3235,94.34,2026-04-26 04:15:00
1777177800000,0.3235,0.3236,0.3235,0.3236,45.29,2026-04-26 04:30:00
1777178700000,0.3235,0.3238,0.3235,0.3237,704.93,2026-04-26 04:45:00
1777179600000,0.3237,0.3238,0.3234,0.3235,323.16,2026-04-26 05:00:00
1777180500000,0.3234,0.3236,0.3232,0.3233,238.49,2026-04-26 05:15:00
1777181400000,0.3233,0.3234,0.3232,0.3233,83.27,2026-04-26 05:30:00
1777182300000,0.3232,0.3236,0.3231,0.3236,385.53,2026-04-26 05:45:00
1777183200000,0.3235,0.3235,0.3234,0.3234,40.6,2026-04-26 06:00:00
1777184100000,0.3234,0.3235,0.3232,0.3232,338.86,2026-04-26 06:15:00
1777185000000,0.3232,0.3233,0.3231,0.3231,196.76,2026-04-26 06:30:00
1777185900000,0.3231,0.3234,0.3229,0.3233,243.95,2026-04-26 06:45:00
1777186800000,0.3232,0.3237,0.3231,0.3235,858.18,2026-04-26 07:00:00
1777187700000,0.3235,0.3236,0.3235,0.3236,133.89,2026-04-26 07:15:00
1777188600000,0.3236,0.3237,0.3236,0.3237,89.85,2026-04-26 07:30:00
1777189500000,0.3237,0.324,0.3237,0.3238,368.89,2026-04-26 07:45:00
1777190400000,0.3237,0.3239,0.3229,0.3232,1069.03,2026-04-26 08:00:00
1777191300000,0.3232,0.3233,0.3232,0.3232,85.92,2026-04-26 08:15:00
1777192200000,0.3232,0.3234,0.3232,0.3233,82.32,2026-04-26 08:30:00
1777193100000,0.3233,0.3234,0.3232,0.3234,113.62,2026-04-26 08:45:00
1777194000000,0.3234,0.3237,0.3233,0.3236,172.63,2026-04-26 09:00:00
1777194900000,0.3235,0.3238,0.3234,0.3237,38.37,2026-04-26 09:15:00
1777195800000,0.3237,0.324,0.3237,0.3239,80.09,2026-04-26 09:30:00
1777196700000,0.3239,0.3245,0.3239,0.3239,551.06,2026-04-26 09:45:00
1777197600000,0.324,0.3241,0.3237,0.3238,197.76,2026-04-26 10:00:00
1777198500000,0.3238,0.3238,0.3236,0.3237,30.14,2026-04-26 10:15:00
1777199400000,0.3236,0.3238,0.3236,0.3238,49.98,2026-04-26 10:30:00
1777200300000,0.3237,0.3239,0.3237,0.3237,109.71,2026-04-26 10:45:00
1777201200000,0.3237,0.3238,0.3234,0.3236,164.11,2026-04-26 11:00:00
1777202100000,0.3236,0.3237,0.3231,0.3232,293.28,2026-04-26 11:15:00
1777203000000,0.3232,0.3232,0.3225,0.3226,436.62,2026-04-26 11:30:00
1777203900000,0.3225,0.3228,0.3224,0.3226,405.03,2026-04-26 11:45:00
1777204800000,0.3225,0.323,0.3225,0.3229,146.91,2026-04-26 12:00:00
1777205700000,0.3229,0.3233,0.3226,0.3233,299.63,2026-04-26 12:15:00
1777206600000,0.3232,0.3233,0.3232,0.3232,9.0,2026-04-26 12:30:00
1777207500000,0.3233,0.3234,0.3232,0.3233,19.44,2026-04-26 12:45:00
1777208400000,0.3233,0.3234,0.3233,0.3234,77.71,2026-04-26 13:00:00
1777209300000,0.3233,0.3234,0.3231,0.3234,184.45,2026-04-26 13:15:00
1777210200000,0.3234,0.3237,0.3233,0.3236,71.9,2026-04-26 13:30:00
1777211100000,0.3236,0.3236,0.3232,0.3232,136.48,2026-04-26 13:45:00
1777212000000,0.3233,0.3234,0.3231,0.3233,103.69,2026-04-26 14:00:00
1777212900000,0.3233,0.3234,0.3231,0.3231,119.05,2026-04-26 14:15:00
1777213800000,0.3231,0.3235,0.3231,0.3233,132.04,2026-04-26 14:30:00
1777214700000,0.3233,0.3235,0.3233,0.3234,71.36,2026-04-26 14:45:00
1777215600000,0.3234,0.3236,0.3233,0.3235,253.08,2026-04-26 15:00:00
1777216500000,0.3234,0.3236,0.3232,0.3233,113.65,2026-04-26 15:15:00
1777217400000,0.3233,0.3233,0.3231,0.3232,27.9,2026-04-26 15:30:00
1777218300000,0.3232,0.3235,0.3231,0.3235,92.09,2026-04-26 15:45:00
1777219200000,0.3234,0.3236,0.3234,0.3236,94.69,2026-04-26 16:00:00
1777220100000,0.3236,0.3238,0.3233,0.3234,392.06,2026-04-26 16:15:00
1777221000000,0.3234,0.3236,0.3233,0.3236,20.6,2026-04-26 16:30:00
1777221900000,0.3236,0.3237,0.3235,0.3237,35.54,2026-04-26 16:45:00
1777222800000,0.3237,0.3238,0.3236,0.3238,195.07,2026-04-26 17:00:00
1777223700000,0.3238,0.3239,0.3237,0.3238,106.6,2026-04-26 17:15:00
1777224600000,0.3237,0.3239,0.3235,0.3239,57.99,2026-04-26 17:30:00
1777225500000,0.3239,0.3239,0.3238,0.3239,46.61,2026-04-26 17:45:00
1777226400000,0.3239,0.3239,0.3238,0.3239,34.78,2026-04-26 18:00:00
1777227300000,0.3239,0.324,0.3237,0.3239,212.03,2026-04-26 18:15:00
1777228200000,0.3239,0.324,0.3237,0.324,155.79,2026-04-26 18:30:00
1777229100000,0.324,0.324,0.3239,0.324,71.4,2026-04-26 18:45:00
1777230000000,0.3239,0.324,0.3239,0.324,73.33,2026-04-26 19:00:00
1777230900000,0.3239,0.3241,0.3237,0.3238,94.38,2026-04-26 19:15:00
1777231800000,0.3238,0.3239,0.3237,0.3238,110.85,2026-04-26 19:30:00
1777232700000,0.3239,0.3239,0.3236,0.3237,96.34,2026-04-26 19:45:00
1777233600000,0.3236,0.3239,0.3236,0.3236,163.63,2026-04-26 20:00:00
1777234500000,0.3237,0.3237,0.3232,0.3235,112.65,2026-04-26 20:15:00
1777235400000,0.3236,0.3237,0.3231,0.3233,136.54,2026-04-26 20:30:00
1777236300000,0.3233,0.3234,0.3233,0.3234,28.21,2026-04-26 20:45:00
1777237200000,0.3233,0.3234,0.3232,0.3233,425.0,2026-04-26 21:00:00
1777238100000,0.3233,0.3234,0.3232,0.3232,104.38,2026-04-26 21:15:00
1777239000000,0.3233,0.3235,0.3231,0.3235,100.33,2026-04-26 21:30:00
1777239900000,0.3235,0.3235,0.3231,0.3234,130.85,2026-04-26 21:45:00
1777240800000,0.3234,0.3236,0.3233,0.3234,198.87,2026-04-26 22:00:00
1777241700000,0.3233,0.3234,0.3232,0.3233,99.57,2026-04-26 22:15:00
1777242600000,0.3233,0.3233,0.3231,0.3232,120.33,2026-04-26 22:30:00
1777243500000,0.3233,0.3233,0.3231,0.3233,171.98,2026-04-26 22:45:00
1777244400000,0.3233,0.3233,0.3232,0.3233,65.36,2026-04-26 23:00:00
1777245300000,0.3233,0.3236,0.3232,0.3236,57.78,2026-04-26 23:15:00
1777246200000,0.3237,0.3238,0.3231,0.3232,263.74,2026-04-26 23:30:00
1777247100000,0.3233,0.3233,0.323,0.3231,168.73,2026-04-26 23:45:00
1777248000000,0.323,0.3231,0.3227,0.323,388.42,2026-04-27 00:00:00
1777248900000,0.323,0.3234,0.3229,0.3233,242.69,2026-04-27 00:15:00
1777249800000,0.3234,0.3236,0.3234,0.3236,204.08,2026-04-27 00:30:00
1777250700000,0.3235,0.3237,0.3234,0.3236,164.06,2026-04-27 00:45:00
1777251600000,0.3237,0.3239,0.3232,0.3233,606.96,2026-04-27 01:00:00
1777252500000,0.3233,0.3234,0.3229,0.3234,309.4,2026-04-27 01:15:00
1777253400000,0.3235,0.3236,0.3231,0.3232,187.13,2026-04-27 01:30:00
1777254300000,0.3232,0.3233,0.3231,0.3233,294.83,2026-04-27 01:45:00
1777255200000,0.3233,0.3234,0.3231,0.3234,72.06,2026-04-27 02:00:00
1777256100000,0.3234,0.3235,0.3232,0.3232,140.37,2026-04-27 02:15:00
1777257000000,0.3232,0.3233,0.323,0.323,89.91,2026-04-27 02:30:00
1777257900000,0.323,0.323,0.3227,0.3229,156.17,2026-04-27 02:45:00
1777258800000,0.323,0.323,0.3228,0.3228,100.31,2026-04-27 03:00:00
1777259700000,0.3228,0.3229,0.3228,0.3229,20.17,2026-04-27 03:15:00
1777260600000,0.3229,0.3232,0.3228,0.3231,161.82,2026-04-27 03:30:00
1777261500000,0.3231,0.3236,0.3231,0.3235,146.48,2026-04-27 03:45:00
1777262400000,0.3235,0.3242,0.3234,0.3235,524.21,2026-04-27 04:00:00
1777263300000,0.3235,0.3236,0.3231,0.3231,235.02,2026-04-27 04:15:00
1777264200000,0.3232,0.3234,0.323,0.3234,136.42,2026-04-27 04:30:00
1777265100000,0.3234,0.3238,0.3231,0.3238,178.08,2026-04-27 04:45:00
1777266000000,0.3238,0.3238,0.3231,0.3235,519.29,2026-04-27 05:00:00
1777266900000,0.3235,0.3238,0.3234,0.3237,597.05,2026-04-27 05:15:00
1777267800000,0.3237,0.3237,0.3233,0.3235,321.57,2026-04-27 05:30:00
1777268700000,0.3236,0.3236,0.3233,0.3236,186.1,2026-04-27 05:45:00
1777269600000,0.3236,0.3236,0.3233,0.3235,417.35,2026-04-27 06:00:00
1777270500000,0.3236,0.3237,0.3235,0.3236,122.86,2026-04-27 06:15:00
1777271400000,0.3236,0.3236,0.3233,0.3234,97.11,2026-04-27 06:30:00
1777272300000,0.3234,0.3236,0.3234,0.3236,217.04,2026-04-27 06:45:00
1777273200000,0.3237,0.3238,0.3235,0.3236,258.77,2026-04-27 07:00:00
1777274100000,0.3236,0.3236,0.3232,0.3233,70.26,2026-04-27 07:15:00
1777275000000,0.3233,0.3233,0.323,0.3232,271.27,2026-04-27 07:30:00
1777275900000,0.3232,0.3233,0.3231,0.3233,135.05,2026-04-27 07:45:00
1777276800000,0.3233,0.3237,0.3232,0.3237,141.86,2026-04-27 08:00:00
1777277700000,0.3237,0.3237,0.3236,0.3236,51.74,2026-04-27 08:15:00
1777278600000,0.3237,0.3237,0.3233,0.3235,314.88,2026-04-27 08:30:00
1777279500000,0.3235,0.3241,0.323,0.3237,564.51,2026-04-27 08:45:00
1777280400000,0.3238,0.3242,0.3236,0.3242,510.41,2026-04-27 09:00:00
1777281300000,0.3242,0.3252,0.3236,0.3236,1263.95,2026-04-27 09:15:00
1777282200000,0.3237,0.3244,0.3235,0.3243,568.45,2026-04-27 09:30:00
1777283100000,0.3244,0.3246,0.3243,0.3245,123.19,2026-04-27 09:45:00
1777284000000,0.3245,0.325,0.3245,0.325,136.58,2026-04-27 10:00:00
1777284900000,0.325,0.3252,0.3249,0.3252,132.7,2026-04-27 10:15:00
1777285800000,0.3253,0.3254,0.3251,0.3252,441.79,2026-04-27 10:30:00
1777286700000,0.3252,0.3253,0.3248,0.3253,522.03,2026-04-27 10:45:00
1777287600000,0.3253,0.3254,0.325,0.325,105.71,2026-04-27 11:00:00
1777288500000,0.325,0.3255,0.3247,0.3249,250.4,2026-04-27 11:15:00
1777289400000,0.325,0.3252,0.3249,0.3251,284.67,2026-04-27 11:30:00
1777290300000,0.3251,0.3254,0.3248,0.3253,149.63,2026-04-27 11:45:00
